rank,Aproximate Alternative Least Squares,Neural Sequencer LSTM
1,548.3696886927265,312.48747541336974
2,439.9004948221455,308.9378500646273
3,419.33485341175555,308.5271412421268
4,409.64898149663327,308.39047224299657
5,400.72181280305284,304.7898012193802
6,384.89921426498785,303.69729651998847
7,375.1738369483069,299.6693165755854
8,365.93555920328976,299.3923048584342
9,356.01289842837093,295.5755828209716
10,350.32895655038044,295.2599579191758
11,346.52475989563095,292.61866446286996
12,345.8797853787908,292.2870538965768
13,343.8555045361558,289.728439078657
14,344.1155266844988,287.97466062516656
