rank,Aproximate Alternative Least Squares,Neural Sequencer LSTM
1,26045.687690101968,7772.324403835947
2,23543.66107166491,7832.488870685789
3,22379.06632461687,7983.117599417974
4,22544.729402243753,8056.846735266262
5,21527.505316437742,8104.852805525404
6,19646.957290952898,8001.157419496709
7,18148.61027690677,7856.510110205598
8,17146.436812956465,7817.433226787246
9,16116.895546337399,7688.971918296073
10,15572.608971478418,7645.952225052649
11,15160.180940775901,7453.638781030898
12,14847.299947674597,7304.464448495898
13,14531.039418767785,7132.690432963468
14,14261.95818875094,6950.705889946154
