rank,Aproximate Alternative Least Squares,Neural Sequencer LSTM
1,138.70403198090128,268.5835072432592
2,148.7779626364877,267.32954954471023
3,151.64436642527284,264.7999221009469
4,153.81626817457774,263.8787124973025
5,162.93927156453026,264.1980014230521
6,166.75679424667126,264.7543770363793
7,170.6134633852553,265.52542453635914
8,173.42164328544553,266.15079316656545
9,176.34613578293732,265.12456008272306
10,178.18417658979567,265.49021840548636
11,180.1607283628505,266.08466323874865
12,180.9577666467957,265.70107651043367
13,182.55220192564377,266.0275677743076
14,183.9293803614061,264.81087185982733
